Cena,Dzielnica,Pietro,Powierzchnia,Rok budowy,Rynek,Stan_wykonczenia,Wlasnosc,Zabudowa
"1750000,0",Anin,parter,"248,15",2015,wtórny,do zamieszkania,pełna własność,apartamentowiec
"559900,0",Anin,1,80,1939,wtórny,,,
"379900,0",Anin,1,"49,43",1970,wtórny,,,blok
"719000,0",Annopol,,124,2018,pierwotny,do wykończenia,pełna własność,apartamentowiec
"1630000,0",Bemowo,4,"126,33",2008,wtórny,,pełna własność,apartamentowiec
"1560000,0",Bemowo,parter,"130,2",2008,wtórny,do zamieszkania,pełna własność,apartamentowiec
"1190000,0",Bemowo,4,90,2006,wtórny,do zamieszkania,pełna własność,apartamentowiec
"1050000,0",Bemowo,1,"80,3",2013,wtórny,do zamieszkania,pełna własność,blok
"999000,0",Bemowo,3,150,2000,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"860000,0",Bemowo,2,"99,13",2010,wtórny,do zamieszkania,pełna własność,apartamentowiec
"852000,0",Bemowo,parter,"89,9",2007,wtórny,do zamieszkania,pełna własność,blok
"750000,0",Bemowo,4,83,2013,wtórny,do zamieszkania,pełna własność,
"710000,0",Bemowo,1,"71,02",2014,wtórny,do zamieszkania,pełna własność,blok
"699000,0",Bemowo,2,62,2014,wtórny,do zamieszkania,pełna własność,blok
"690000,0",Bemowo,parter,72,2015,wtórny,do zamieszkania,pełna własność,blok
"656000,0",Bemowo,1,60,2010,wtórny,do zamieszkania,pełna własność,blok
"649000,0",Bemowo,2,"82,2",2000,wtórny,do zamieszkania,pełna własność,blok
"599000,0",Bemowo,3,"68,7",2008,wtórny,do zamieszkania,pełna własność,blok
"585000,0",Bemowo,parter,63,2002,wtórny,do zamieszkania,pełna własność,blok
"580000,0",Bemowo,4,59,2010,wtórny,do zamieszkania,pełna własność,apartamentowiec
"580000,0",Bemowo,4,"65,2",2008,wtórny,do zamieszkania,,blok
"569000,0",Bemowo,parter,63,2008,wtórny,do zamieszkania,pełna własność,blok
"559000,0",Bemowo,,80,1981,wtórny,do zamieszkania,pełna własność,blok
"555000,0",Bemowo,1,"55,93",2001,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"535000,0",Bemowo,2,52,2015,wtórny,do zamieszkania,pełna własność,blok
"535000,0",Bemowo,2,52,,wtórny,,pełna własność,
"530000,0",Bemowo,3,69,2005,wtórny,,,
"499000,0",Bemowo,1,63,2012,wtórny,do zamieszkania,pełna własność,apartamentowiec
"485000,0",Bemowo,3,52,2012,wtórny,do zamieszkania,,apartamentowiec
"480000,0",Bemowo,parter,62,1980,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"470000,0",Bemowo,2,"61,9",1988,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"470000,0",Bemowo,6,44,2010,wtórny,,,blok
"460000,0",Bemowo,9,63,1980,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"459000,0",Bemowo,> 10,"57,4",2002,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"455000,0",Bemowo,2,"43,74",2016,wtórny,,pełna własność,blok
"439000,0",Bemowo,5,46,1975,wtórny,do zamieszkania,pełna własność,blok
"435000,0",Bemowo,3,43,2014,wtórny,,pełna własność,blok
"435000,0",Bemowo,3,43,2014,wtórny,do zamieszkania,pełna własność,blok
"419000,0",Bemowo,1,"48,5",1993,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"409000,0",Bemowo,2,"45,8",1975,wtórny,do zamieszkania,pełna własność,blok
"400000,0",Bemowo,1,"34,35",2009,wtórny,do zamieszkania,pełna własność,apartamentowiec
"396000,0",Bemowo,8,"43,66",2020,wtórny,,pełna własność,blok
"395000,0",Bemowo,3,"53,55",1956,wtórny,do zamieszkania,pełna własność,blok
"393000,0",Bemowo,3,"46,92",2020,pierwotny,do wykończenia,pełna własność,blok
"329999,0",Bemowo,2,"40,09",2020,pierwotny,do wykończenia,pełna własność,blok
"313850,0",Bemowo,3,27,2018,wtórny,do zamieszkania,pełna własność,apartamentowiec
"310000,0",Bemowo,5,"34,16",2019,wtórny,do wykończenia,pełna własność,blok
"892750,0",Białołęka,,150,,pierwotny,,,
"780000,0",Białołęka,,150,,pierwotny,,,
"760000,0",Białołęka,3,"80,44",2016,wtórny,do zamieszkania,pełna własność,apartamentowiec
"758480,0",Białołęka,,144,,pierwotny,,,
"719990,0",Białołęka,2,"100,78",,pierwotny,,,blok
"670000,0",Białołęka,1,"103,47",2015,wtórny,do zamieszkania,pełna własność,blok
"669000,0",Białołęka,,139,,wtórny,do zamieszkania,pełna własność,blok
"660000,0",Białołęka,6,"80,9",2006,wtórny,do zamieszkania,pełna własność,blok
"649990,0",Białołęka,parter,"94,36",,pierwotny,,,blok
"649000,0",Białołęka,2,116,2009,wtórny,do zamieszkania,pełna własność,apartamentowiec
"644990,0",Białołęka,2,"99,19",,pierwotny,,,blok
"570000,0",Białołęka,parter,"81,5",2009,wtórny,,pełna własność,
"555000,0",Białołęka,parter,98,2020,pierwotny,do wykończenia,pełna własność,szeregowiec
"550000,0",Białołęka,parter,"90,5",1999,wtórny,,pełna własność,blok
